feature,mean_abs_shap
batch,0.19779222
throughput,0.09720494
energy_per_img,0.067617044
pwr_std,0.022173237
pwr_mean,0.0030904878
avg_mem,0.0
pwr_p95,0.0
power_peak_to_mean,0.0
power_range,0.0
power_slope,0.0
gpu_util_mean,0.0
gpu_util_std,0.0
gpu_util_p95,0.0
gpu_util_slope,0.0
mem_util_mean,0.0
mem_util_std,0.0
mem_util_p95,0.0
temp_mean,0.0
temp_max,0.0
temp_slope,0.0
sm_clock_mean,0.0
mem_clock_mean,0.0
step_time_std,0.0
step_time_p95,0.0
step_time_cv,0.0
step_time_slope,0.0
throughput_var_ratio,0.0
power_limit_w,0.0
vram_total_mb,0.0
is65W,0.0
